PID,age,load,exp,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
1104.0,0.0,1b,wmc,0.9372718254364787,0.6562075080439338,0.4567892012579341,0.30210834542965476,0.1757248838653891,0.06886918966423194,-0.023693422920610496,-0.1053394335271558,-0.17837427874889,-0.24444233267405546,-0.3047577403131556,-0.36024253677192286,-0.41161343451431254,-0.4594385961414349,-0.5041760470991554
1104.0,0.0,1b,wmv,0.9028290051215446,0.6272618039722153,0.43174376323064867,0.28008818877916025,0.15617656208131936,0.05141077448133674,-0.03934147866024729,-0.11939063906800995,-0.19099705311173576,-0.25577293385832434,-0.3149086798095766,-0.36930829271073473,-0.41967446740955916,-0.46656425426106507,-0.5104267205511435
1104.0,0.0,2b,wmc,0.9384510489577532,0.6466039220938612,0.4395350902354493,0.27892002613507616,0.14768796337155737,0.036732835267908825,-0.05938086848685464,-0.1441591634923347,-0.21999593258722783,-0.28859863496662164,-0.35122799535074667,-0.40884142199039797,-0.46218312345439516,-0.5118430594511199,-0.5582968272091584
1104.0,0.0,2b,wmv,0.9633701094846905,0.6769297398274912,0.4736970632568236,0.31605755236699506,0.18725669359962427,0.07835711918581456,-0.0159759829710433,-0.09918367605757505,-0.17361549386087183,-0.2409472632025682,-0.3024163526282426,-0.3589624334521804,-0.41131592704205233,-0.46005586351807115,-0.5056490291989102
1108.0,0.0,1b,wmc,0.8301145410450348,0.5917401272551017,0.42261078910186023,0.2914238825793418,0.18423637531192716,0.09361062921359742,0.015107037158685666,-0.05413803847800591,-0.11607986936383274,-0.17211307119733865,-0.2232673766312474,-0.270324775993829,-0.31389312272957715,-0.3544542831537658,-0.3923967147844889
1108.0,0.0,1b,wmv,0.6786940474724144,0.4718624780158408,0.32511314407845904,0.21128551746029042,0.11828157462188538,0.039647861377774984,-0.028467759315496277,-0.0885499948346884,-0.14229538593366486,-0.19091400608101905,-0.23529932877206994,-0.27612986762883107,-0.31393304201618033,-0.3491269553902385,-0.3820486627094517
1108.0,0.0,2b,wmc,0.9314831660589635,0.6979350540261712,0.5322300314650904,0.403699230467477,0.2986819194322978,0.20989104810379966,0.13297689687121728,0.06513380739950561,0.004446095873603895,-0.05045261700126069,-0.10057121516157519,-0.14667585619066292,-0.18936208649007336,-0.22910201615918857,-0.26627623772265596
1108.0,0.0,2b,wmv,0.7394020304866817,0.5384401726786552,0.3958554654328947,0.28525817424003164,0.19489360762486796,0.11849145518073667,0.052308900379107515,-0.006068250183158819,-0.058288390813755475,-0.10552725408083741,-0.14865295742891926,-0.18832475881550748,-0.22505510987305044,-0.25925024862178225,-0.2912376646746797
1605.0,0.0,1b,wmc,0.9846700807964612,0.7668822211027079,0.6123592755307234,0.49250196728554446,0.39457141583696986,0.3117723143641996,0.24004847026498544,0.17678355614321628,0.12019116201980663,0.06899711436559186,0.022260610571231965,-0.020732805236231222,-0.06053849090153829,-0.09759669767394685,-0.13226233500075257
1605.0,0.0,1b,wmv,1.1882681890294444,0.9778781453971599,0.8286040338521289,0.712818037576623,0.6182139902198442,0.5382274078820332,0.46893987867481335,0.40782394658755994,0.35315388239930745,0.30369879369588326,0.2585498350425288,0.21701681919696036,0.17856325270471762,0.14276383876702292,0.1092757234974977
